"","t2m","tp","rh","svpd"
"1",0.0588531953757198,0.0743424042372401,-0.066285491889201,-0.0101018595879271
"2",-0.0784007908701408,0.114097888193165,-0.0877694757173553,-0.0547428861191941
"3",0.0139664377175135,-0.0106994976184522,-0.0518814895309158,-0.0537438540240409
"4",0.056615369607072,-0.0524916373875318,-0.0634477302678256,0.0512851865649719
"5",-0.0220954451791802,-0.235606191270385,-0.110065453863672,-0.0524781952728638
"6",-0.0148329728766476,0.0574017785477587,-0.038981736408376,-0.111412480588323
"7",0.0698660978610828,0.205658968254485,-0.0468153345472568,-0.0553761564380223
"8",-5.86203929662009e-05,0.0270632570893607,-0.0950311137205821,-0.0142047724887548
"9",0.0778606395854771,0.0791241276633485,-0.144867329745846,-0.00941795317561255
"10",0.0533966811316309,-0.13300492280463,-0.113054671209514,0.0085297321197387
"11",-0.184255953171753,0.0683495708580073,0.0571108662743579,-0.00896270878604019
"12",-0.17229733604455,-0.0148637461705721,-0.089758891204181,-0.0689817312898968
"13",-0.266515050190453,0.207296481945972,-0.151107610626164,-0.125730163099314
"14",-0.13479431083535,0.027525575364671,-0.0516483139079823,-0.0261739049309637
"15",-0.109915154857006,-0.0538289919146182,0.0772107865835986,-0.191591294660161
"16",-0.15757017810194,0.08988876228477,-0.0323342105190705,0.0170191594886922
"17",0.0120517196519885,0.217706804464122,-0.087135881976136,-0.0764001993871595
"18",0.0108457892095313,0.0351767767481913,-0.0638355753384832,-0.0139465653727699
"19",-0.00378827086148643,0.0236644921552965,-0.0451635155854319,-0.128702944169012
"20",0.0481061971369209,0.116402752368433,0.0640011723627125,0.00383872922513306
"21",-0.0058765820659863,0.00388796158980672,-0.0764125888876244,-0.0542286551951788
"22",-0.246393286041992,0.0999310359818132,0.0180766723372002,-0.0592190619502707
"23",-0.122004103817667,-0.00654260837030792,-0.0381927318215527,-0.0511561469641194
"24",-0.0867811880696698,0.202803798992896,-0.125310599649017,0.0663552274760596
"25",-0.112567134394661,0.183550617250759,-0.111306574476863,-0.0881040634694646
"26",-0.235604305208244,-0.000399281723460731,-0.0999239096665028,-0.0602724303733018
"27",0.0154237798430287,0.128081877739908,-0.0474278200585584,-0.0223456793588964
"28",-0.0355348119157495,0.0173351475350188,-0.092485170444338,-0.0547392847747753
"29",-0.097007582884751,0.0197129963577823,0.0518849276015613,-0.0721991857214315
"30",-0.0575380055162957,0.0311910137292748,-0.0471911289224462,-0.120693218139281
"31",0.0268797177809472,0.246928890444662,-0.0913359167345902,-0.0916215501856794
"32",-0.267282486123523,0.000818322366789931,-0.000500360805218208,-0.0964819774324181
"33",-0.0423877723167517,0.0384988051544286,-0.0884891340025697,-0.00454162475012056
"34",-0.108947336212553,0.141293035353208,-0.00649715861908667,-0.10340491491405
"35",-0.00342512119373344,-0.0703183756885847,-0.0843952025017747,-0.0921191931885955
"36",-0.0802582948142003,0.138483346298873,0.0372696301678115,-0.0369523552510012
"37",-0.0682983990880073,0.192961550415365,-0.0336402201974951,0.022514779229317
